TF,avg_log2FC_deg,p_val_adj_deg,avg_log2FC_positive,p_val_adj_positive,avg_log2FC_negative,p_val_adj_negative,module,kME,direction
FLI1,-0.362786391708509,1,0.0314013167302267,1,-0.453305906431151,9.10746110966326e-12,purple,0.189644410892883,Young_up
NR3C2,0.626402303654412,1,0.0486233328806209,1,0.0140463502652364,1,turquoise,0.249033447780755,Aged_up
BCL11A,0.572362463941522,1,-0.0780853906695542,1,,,black,0.189145625286642,Aged_up
ZNF75D,-0.314426925610486,1,-0.329727428862762,1,1.13292179776237,7.8501177789664e-26,turquoise,0.131832614700585,Young_up
ZSCAN31,-2.74956563094584,1,-0.117536801800393,1,0.423208807048116,1,turquoise,0.123067827051152,Young_up
VDR,-1.06855644275365,0.00246875081016888,-0.051290149723318,1,-0.0449817391337919,1,red,0.109224438048671,Young_up
GLI3,-0.161080063660986,1,0.0208002024088514,1,0.433278836188446,6.56351433297372e-21,turquoise,0.180197387693484,Young_up
MEIS2,-0.244166002778217,1,-0.0324205745087736,1,-0.0524218257714231,1,brown,0.10540625796987,Young_up
KLF7,-0.0985139397669113,1,-0.0238779889944167,1,-0.109601799779541,0.351932096949194,turquoise,0.15892422303985,Young_up
RARB,0.572362463941523,1,-0.274313122413498,1,0.267627654804373,1,black,0.180260504830082,Aged_up
ZNF652,-0.591136268341357,1,-0.152566735478213,1,0.52168377764641,8.24700699010206e-12,turquoise,0.182967786397482,Young_up
PBX3,-0.255301440516421,1,-0.0119284664688855,1,0.032796672683514,1,brown,0.110030518092531,Young_up
TFCP2,0.556242798578246,1,-0.477712126018041,1,,,turquoise,0.1272987766945,Aged_up
IKZF1,-0.427637536058478,1,-0.217033034347617,1,,,pink,0.128535110156926,Young_up
