Table S2 Pseudobulk differential expression results across all cell types,,,,,,,,,,
gene,celltype,avg_log2FC,AveExpr,t,p_val,p_val_adj,B,n_Young,n_Aged,direction
GLI1,FAP3,-2.351017495,3.79250307,-4.214278693,0.000787598,0.046544303,-0.383843165,5,5,Down
SMG5,FAP3,1.411270848,6.483966203,4.213922435,0.000788158,0.046544303,-0.444824577,5,5,Up
RASGEF1B,FAP3,-4.420487759,4.044554365,-4.2021602,0.000806859,0.046813676,-0.453092076,5,5,Down
COL21A1,FAP3,-3.585362897,3.878447076,-4.201990071,0.000807132,0.046813676,-0.533255875,5,5,Down
DIRC3,FAP3,1.73758439,5.404633109,4.173204845,0.000854849,0.04914246,-0.447912647,5,5,Up
AC005759.1,FAP3,2.320441231,4.62149653,4.167848935,0.00086404,0.049235124,-0.420378713,5,5,Up
GALNTL6,MSM,7.457138642,6.063472445,12.42776063,1.61E-08,0.000146062,8.618642003,5,5,Up
COL19A1,MSM,7.568494526,6.283413626,9.565659888,3.38E-07,0.001439952,6.450930664,5,5,Up
DNAH11,MSM,4.733285481,5.937040565,9.153197094,5.56E-07,0.001439952,6.312213851,5,5,Up
AP001042.1,MSM,4.42939167,6.357839377,9.047702532,6.33E-07,0.001439952,6.249309218,5,5,Up
EFCAB7,MSM,5.066715158,5.910658527,8.631868183,1.07E-06,0.001944556,5.73119813,5,5,Up
AC117464.1,MSM,6.746303353,5.208211654,8.292890705,1.66E-06,0.002279636,5.073124367,5,5,Up
DAAM2,MSM,-4.458807344,4.996125987,-8.251357734,1.75E-06,0.002279636,5.393836699,5,5,Down
DLEU2L,MSM,5.314803716,5.042665493,7.966074564,2.57E-06,0.002923193,4.848010439,5,5,Up
MDM2,MSM,3.060094166,7.38127464,7.539836756,4.63E-06,0.004200984,4.536060427,5,5,Up
TENM2,MSM,7.248840924,5.095202715,7.502383751,4.89E-06,0.004200984,4.132532939,5,5,Up
SNX7,MSM,5.335902522,5.216213404,7.474548652,5.08E-06,0.004200984,4.315274311,5,5,Up
AL157829.1,MSM,4.708161645,4.460273663,7.38833873,5.74E-06,0.004352777,4.122137051,5,5,Up
SPATS2L,MSM,-2.152265215,6.877090615,-7.241225861,7.10E-06,0.004962846,4.148746976,5,5,Down
MARCHF1,MSM,5.036802778,6.031502505,7.138701296,8.23E-06,0.005286667,3.93541942,5,5,Up
IGFN1,MSM,-6.03040969,4.675201379,-7.099342787,8.72E-06,0.005286667,3.85689353,5,5,Down
NNMT,MSM,3.186685701,7.514922918,6.815300169,1.33E-05,0.007382036,3.542425793,5,5,Up
EFNA5,MSM,6.40051667,5.377338307,6.789897085,1.38E-05,0.007382036,3.379972464,5,5,Up
MUSK,MSM,6.113634076,3.888794262,6.716861648,1.54E-05,0.007784018,3.187384733,5,5,Up
LINC01497,MSM,4.388880697,3.693040563,6.608232965,1.82E-05,0.008698956,3.047827309,5,5,Up
AC068506.1,MSM,3.988744698,6.926828513,6.569843188,1.93E-05,0.008764161,3.18185746,5,5,Up
ACTN3,MSM,-3.001759208,6.716263479,-6.527671565,2.06E-05,0.008905419,3.119354094,5,5,Down
DKK2,MSM,4.006130315,3.746201888,6.43516523,2.37E-05,0.009310136,2.835695544,5,5,Up
MCU,MSM,2.91826958,9.230985171,6.42273429,2.42E-05,0.009310136,2.969353472,5,5,Up
EBF3,MSM,-2.831437079,4.222561374,-6.412608698,2.46E-05,0.009310136,2.943295054,5,5,Down
FLRT2,MSM,2.780370169,7.844337228,6.369445992,2.63E-05,0.009559256,2.889209432,5,5,Up
RUNX1,MSM,3.583876161,9.093622342,6.328377326,2.80E-05,0.009801082,2.828296319,5,5,Up
C20orf194,MSM,-2.357093499,6.356038731,-6.181832629,3.53E-05,0.011890504,2.594057435,5,5,Down
AC005208.1,MSM,5.558805066,4.081931897,6.140076588,3.77E-05,0.012252529,2.418964277,5,5,Up
AC068413.1,MSM,5.280489205,4.978098678,6.067313227,4.24E-05,0.013287935,2.381811161,5,5,Up
OSBPL3,MSM,-2.867806225,4.151444477,-5.979532395,4.88E-05,0.014792722,2.299067136,5,5,Down
LDLRAD4,MSM,-2.014587168,7.277752871,-5.944777228,5.16E-05,0.015143022,2.213335547,5,5,Down
