level,x,y,piece,group,nlevel,n,PANEL,fill,colour,linewidth,linetype,alpha,sample
2e-08,2831.08128156566,-476.222114065805,1,-1-002-001,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,2830.86549746483,-476.109375,1,-1-002-001,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,42.515625,-1752.11312314011,2,-1-002-002,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,58.0370198119163,-1727.78645833333,2,-1-002-002,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,85.3383097544244,-1689.85684974747,2,-1-002-002,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,86.0869633838384,-1688.86374880805,2,-1-002-002,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,112.967264783312,-1651.92724116162,2,-1-002-002,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,129.658301767677,-1631.86279122715,2,-1-002-002,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,144.677518135199,-1613.99763257576,2,-1-002-002,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,173.229640151515,-1584.07684212571,2,-1-002-002,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,181.410270389613,-1576.0680239899,2,-1-002-002,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,216.800978535354,-1544.83810957215,2,-1-002-002,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,225.497529713619,-1538.13841540404,2,-1-002-002,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,260.372316919192,-1512.9616168422,2,-1-002-002,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,282.23548231088,-1500.20880681818,2,-1-002-002,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,303.94365530303,-1487.72142191036,2,-1-002-002,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,347.514993686869,-1468.29758637663,2,-1-002-002,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,365.619983036147,-1462.27919823232,2,-1-002-002,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,391.086332070707,-1453.18975869246,2,-1-002-002,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,434.657670454545,-1442.21884735353,2,-1-002-002,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,478.229008838384,-1435.46663593219,2,-1-002-002,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,521.800347222222,-1432.21168560378,2,-1-002-002,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,565.371685606061,-1432.01177581245,2,-1-002-002,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,608.943023989899,-1434.63051947872,2,-1-002-002,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,652.514362373737,-1439.99862864418,2,-1-002-002,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,696.085700757576,-1448.2014680155,2,-1-002-002,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,739.657039141414,-1459.4886689322,2,-1-002-002,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,748.463262247695,-1462.27919823232,2,-1-002-002,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,783.228377525253,-1471.76250132696,2,-1-002-002,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,826.799715909091,-1486.48205385043,2,-1-002-002,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,860.234425535694,-1500.20880681818,2,-1-002-002,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,870.371054292929,-1503.9194772614,2,-1-002-002,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,913.942392676768,-1521.9839351672,2,-1-002-002,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,946.636405405874,-1538.13841540404,2,-1-002-002,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,957.513731060606,-1543.11034544696,2,-1-002-002,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,1001.08506944444,-1565.39123870811,2,-1-002-002,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,1019.45435780414,-1576.0680239899,2,-1-002-002,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,1044.65640782828,-1590.27694372927,2,-1-002-002,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,1081.23597708872,-1613.99763257576,2,-1-002-002,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,1088.22774621212,-1618.61195464753,2,-1-002-002,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,1131.79908459596,-1650.55660919592,2,-1-002-002,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,1133.55437415096,-1651.92724116162,2,-1-002-002,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,1175.3704229798,-1687.84273328657,2,-1-002-002,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,1177.59466256124,-1689.85684974747,2,-1-002-002,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,1214.06792513328,-1727.78645833333,2,-1-002-002,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,1218.94176136364,-1734.06383714003,2,-1-002-002,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
