sample,r,theo,border,trans,iso
1461EP,222.159797668457,155053.229077505,210874.32843135,221215.251566911,210415.234501159
1461EP,223.254180908203,156584.609703935,212959.609991789,223371.898864484,212409.022355583
1461EP,224.348564147949,158123.515542288,214951.443891567,225510.804369212,214402.1193975
1461EP,225.442947387695,159669.946592565,216801.905550042,227511.119335133,216267.52727749
1461EP,226.537330627441,161223.902854765,218739.803121711,229560.822589345,218180.836723054
1461EP,227.631713867188,162785.384328889,220685.931751615,231675.778443371,220145.409977554
1461EP,228.726097106934,164354.391014936,222569.877712962,233676.193052513,222019.367662898
1461EP,229.82048034668,165930.922912906,224526.615100408,235779.897342529,223970.586402034
1461EP,230.914863586426,167514.980022801,226333.205444637,237778.360568654,225833.117982505
1461EP,232.009246826172,169106.562344618,228113.545791399,239826.894416226,227749.862269827
1461EP,233.103630065918,170705.669878359,230039.992293115,241973.224342448,229752.671823762
1461EP,234.198013305664,172312.302624024,232016.956880464,244155.738267447,231788.266915786
1461EP,235.29239654541,173926.460581612,233988.357543323,246243.899798904,233720.330663768
1461EP,236.386779785156,175548.143751124,236071.666462524,248491.971223293,235800.994265531
1461EP,237.481163024902,177177.352132559,238084.3519966,250655.366129504,237809.903644709
1461EP,238.575546264648,178814.085725918,240145.566750405,252857.428426484,239849.977573768
1461EP,239.669929504395,180458.3445312,242045.868828264,254899.030072524,241757.248960473
1461EP,240.764312744141,182110.128548405,244161.565519093,257086.520090525,243788.542184199
1461EP,241.858695983887,183769.437777534,246274.565624235,259375.91860066,245925.896457493
1461EP,242.953079223633,185436.272218587,248454.066150664,261630.696378944,248023.545977647
1461EP,244.047462463379,187110.631871563,250412.355104033,263749.998301397,249989.8278042
1461EP,245.141845703125,188792.516736462,252550.555658816,266111.410926045,252187.562264905
1461EP,246.236228942871,190481.926813285,254714.842547836,268434.459372382,254361.742841068
1461EP,247.330612182617,192178.862102032,256821.960068895,270707.116501339,256500.954938786
1461EP,248.424995422363,193883.322602702,258853.913845801,272962.44637075,258607.235879041
1461EP,249.519378662109,195595.308315295,260909.137452256,275112.059268216,260610.441339278
1461EP,250.613761901856,197314.819239812,263160.271646305,277306.799368011,262641.042479344
