condition,pattern,pathway,cell_group,raw_score,row_scaled_score,cell_total_raw,pathway_total_raw,pathway_order,group_order
Young,outgoing,LAMININ,FAP3,2.69139338621336,0.701483554524379,9.79124048551665,10.6247723141935,2,1
Young,outgoing,LAMININ,Other FAPs,3.83671629770163,1,11.4860457442233,10.6247723141935,2,2
Young,outgoing,LAMININ,MuSC,2.2131907234034,0.576845028841253,4.77237219349636,10.6247723141935,2,3
Young,outgoing,LAMININ,Myogenic,0.0483501914873591,0.012601972034347,0.652634884407937,10.6247723141935,2,4
Young,outgoing,LAMININ,Immune,0,0,0.0465115406468754,10.6247723141935,2,5
Young,outgoing,LAMININ,Endothelial,0.480639046728216,0.125273543685297,2.56108544701319,10.6247723141935,2,6
Young,outgoing,LAMININ,Vascular stromal,1.35448266865958,0.353031749955287,4.84262380150271,10.6247723141935,2,7
Young,outgoing,FN1,FAP3,1.07514380971175,1,9.79124048551665,2.92425417146056,3,1
Young,outgoing,FN1,Other FAPs,0.941504541512994,0.875701029953763,11.4860457442233,2.92425417146056,3,2
Young,outgoing,FN1,MuSC,0.907605820235814,0.844171553644665,4.77237219349636,2.92425417146056,3,3
Young,outgoing,FN1,Myogenic,0,0,0.652634884407937,2.92425417146056,3,4
Young,outgoing,FN1,Immune,0,0,0.0465115406468754,2.92425417146056,3,5
Young,outgoing,FN1,Endothelial,0,0,2.56108544701319,2.92425417146056,3,6
Young,outgoing,FN1,Vascular stromal,0,0,4.84262380150271,2.92425417146056,3,7
Young,outgoing,THBS,FAP3,0.166034256973391,1,9.79124048551665,0.404125607953603,4,1
Young,outgoing,THBS,Other FAPs,0.147914409772076,0.890866815489659,11.4860457442233,0.404125607953603,4,2
Young,outgoing,THBS,MuSC,0.0300589804027118,0.181040834287162,4.77237219349636,0.404125607953603,4,3
Young,outgoing,THBS,Myogenic,0,0,0.652634884407937,0.404125607953603,4,4
Young,outgoing,THBS,Immune,0,0,0.0465115406468754,0.404125607953603,4,5
Young,outgoing,THBS,Endothelial,0,0,2.56108544701319,0.404125607953603,4,6
Young,outgoing,THBS,Vascular stromal,0.0601179608054236,0.362081668574325,4.84262380150271,0.404125607953603,4,7
Young,outgoing,HSPG,FAP3,0.0333585932240492,0.500745479089407,9.79124048551665,0.142789510506796,5,1
Young,outgoing,HSPG,Other FAPs,0.0666178620018916,1,11.4860457442233,0.142789510506796,5,2
Young,outgoing,HSPG,MuSC,0.00945446205680625,0.141920826827763,4.77237219349636,0.142789510506796,5,3
Young,outgoing,HSPG,Myogenic,0,0,0.652634884407937,0.142789510506796,5,4
Young,outgoing,HSPG,Immune,0,0,0.0465115406468754,0.142789510506796,5,5
Young,outgoing,HSPG,Endothelial,0.0333585932240492,0.500745479089407,2.56108544701319,0.142789510506796,5,6
Young,outgoing,HSPG,Vascular stromal,0,0,4.84262380150271,0.142789510506796,5,7
Young,outgoing,TENASCIN,FAP3,0.0476911008851891,0.564734621855195,9.79124048551665,0.132139794199794,6,1
Young,outgoing,TENASCIN,Other FAPs,0.0844486933146054,1,11.4860457442233,0.132139794199794,6,2
Young,outgoing,TENASCIN,MuSC,0,0,4.77237219349636,0.132139794199794,6,3
Young,outgoing,TENASCIN,Myogenic,0,0,0.652634884407937,0.132139794199794,6,4
Young,outgoing,TENASCIN,Immune,0,0,0.0465115406468754,0.132139794199794,6,5
Young,outgoing,TENASCIN,Endothelial,0,0,2.56108544701319,0.132139794199794,6,6
Young,outgoing,TENASCIN,Vascular stromal,0,0,4.84262380150271,0.132139794199794,6,7
Young,outgoing,ICAM,FAP3,0,0,9.79124048551665,0.0878998809152223,7,1
Young,outgoing,ICAM,Other FAPs,0,0,11.4860457442233,0.0878998809152223,7,2
Young,outgoing,ICAM,MuSC,0,0,4.77237219349636,0.0878998809152223,7,3
