"","gene_name","module","color","kME_pink","kME_blue","kME_grey","kME_yellow","kME_turquoise","kME_brown","kME_red","kME_black","kME_greenyellow","kME_green","kME_purple","kME_magenta"
"HLX-AS1","HLX-AS1","turquoise","turquoise",0.00145711009694986,0.0703953837991983,0.0676078320346449,-0.00276745606367698,0.103805298100016,-0.0739784075006757,-0.0279610058126018,-0.00200071790187238,0.0164037666214191,-0.0132173569249021,-0.0456727250466689,-0.0172170556244996
"AC090617.5","AC090617.5","brown","brown",-0.0180135972185327,-0.0176923451186448,-0.0617305708271912,0.0707603817524287,-0.109258332488423,0.144079004622143,0.119310204245677,0.00867650534956406,-0.0432379611748134,-0.0302576275978255,0.0322993361350112,-0.0369863606186421
"TES","TES","brown","brown",-0.0326264533584153,-0.0543507698846809,-0.0726719693206086,0.161833295762659,-0.117396986602839,0.164273287659366,-0.0435252464172284,0.0217604262483556,0.120564064069889,0.00358138149437946,-0.0500736247094409,-0.0815235126361617
"PRX","PRX","blue","blue",-0.0176298851773641,0.330400667692117,0.0889613505936135,-0.0323748976701183,0.0737648033941788,-0.0678601631084025,0.173810129362188,-0.0203249598709357,-0.030953338139021,-0.0799007407911858,-0.0193318164747071,0.0325549421920796
"TMEM144","TMEM144","turquoise","turquoise",-0.0229769068728064,0.0350729005861348,0.133733387672666,-0.0420532941900922,0.217248452857176,-0.0900917077557026,-0.024605096877941,-0.014052972158318,-0.0594096794033996,0.138438597744203,0.0869311181510921,0.0368577945146007
"LDLRAD3","LDLRAD3","turquoise","turquoise",-0.0616074816114456,-0.0309295110694245,0.0562665200250336,-0.0021416199211374,0.0720526857417279,0.0571213564959733,0.020535853993322,0.0231559069199823,-0.10010340995665,0.0738636547520893,0.12033298179859,0.00163930160717534
"EPB41L2","EPB41L2","magenta","magenta",-0.0591909734762402,-0.0243886459242931,0.100502615740473,-0.0384263338083785,0.0935675167763862,-0.0426152585691108,0.228159227170507,0.0286314553607917,-0.0857289464548467,0.0518345171508446,0.21945366970371,0.228884240205658
"ATP1A1","ATP1A1","brown","brown",-0.0113867757927905,-0.0981899643035854,0.0101260061350418,-0.0290333853099906,-0.103713380235568,0.121541157675618,0.0473391570040142,-0.0341454344605832,-0.0476060089203099,-0.0109696205278786,0.0952865480269632,0.0564332114134975
"STK32A","STK32A","blue","blue",-0.0102188244510757,0.154915728714037,0.0962581249994831,-0.0419745830818082,0.136206034509783,-0.112119327553298,-0.00965972766622102,-0.00167164972849069,0.00645378390742817,0.0022178675120148,-0.0216490913451052,-0.00385152257626931
"GLIPR1","GLIPR1","brown","brown",-0.00539736410560753,0.00418442215949527,-0.00134381966459048,0.0680657848239165,-0.073100657361069,0.113131534413211,0.0155939568032758,0.0490217245894929,0.0297038200613584,-0.0081566284783858,-0.0239148138563327,-0.0562054248419387
"SRGAP3","SRGAP3","blue","blue",0.00191617685788563,0.144625070647763,0.00321085063967845,0.0417926053539283,0.0151347269392551,-0.0195294458956318,-0.00578872908315751,0.133685937101333,0.0148911312768101,0.00736338342224599,-0.0368982873282093,-0.0269101275905472
"LRCH1","LRCH1","brown","brown",-0.00787999899461684,-0.112255444745909,-0.171356359546388,0.143522012375275,-0.279340501991791,0.392684401369147,0.0351053975497555,-0.0129340778600609,0.0193426773093802,0.0619797097915444,0.0469050083213271,-0.149433729852674
"PLEKHM3","PLEKHM3","turquoise","turquoise",-0.0209484403752207,0.0720979038598781,0.129666142577052,-0.0333157591858579,0.195054617546554,-0.126300771772479,-0.0467267318470484,0.0168507441862136,0.045915961915267,0.0309625178386419,-0.0311469168381787,0.0254807951097754
"HIF1A","HIF1A","yellow","yellow",4.88008780985297e-05,-0.0880777459057065,-0.0734989105982278,0.253008194263,-0.0854475067761583,0.0782653084232462,-0.0579708530030208,0.0137892725984646,-0.0500248972445483,0.0749978629421412,0.0422412789472581,-0.0184404888972373
"LINC02615","LINC02615","blue","blue",-0.00896660122936785,0.0870915968797156,0.0437314227774993,0.0326142250402854,0.0776082423318495,-0.0527742317763355,-0.0142010568533351,0.00488982982601085,0.00719683692752196,0.0252789950640162,-0.0146854011624047,-0.0174089861567396
"PHLDB3","PHLDB3","red","red",-0.0278844448530215,0.065666286081614,0.030864759265434,-0.034769361342917,-0.011352066482028,0.0304629355706772,0.140702174389217,-0.0204071994892533,-0.0368705968139893,-0.0269928247821457,0.0520002454469956,0.0178326880479173
"TSC22D1","TSC22D1","turquoise","turquoise",-0.0265777915216316,0.0522542453085825,0.11652126633202,-0.0269543207436422,0.129533955968171,-0.117584397248706,-0.0168096788648775,0.0384773766820831,0.000416328382650419,0.0618040427072804,0.00078889706023362,0.11019166970435
